census_block_group_id,"census_2020_block_group_id",census_tract_id,"county_id"
1,"530330001011",1,"033"
2,"530330001012",1,"033"
3,"530330001013",1,"033"
4,"530330001021",2,"033"
5,"530330001022",2,"033"
6,"530330001023",2,"033"
7,"530330002011",3,"033"
8,"530330002012",3,"033"
9,"530330002013",3,"033"
10,"530330002021",4,"033"
11,"530330002022",4,"033"
12,"530330002023",4,"033"
13,"530330003001",5,"033"
14,"530330003002",5,"033"
15,"530330004021",6,"033"
16,"530330004022",6,"033"
17,"530330004023",6,"033"
18,"530330004024",6,"033"
19,"530330004031",7,"033"
20,"530330004032",7,"033"
21,"530330004041",8,"033"
22,"530330004042",8,"033"
23,"530330004043",8,"033"
24,"530330005001",9,"033"
25,"530330005002",9,"033"
26,"530330006011",10,"033"
27,"530330006012",10,"033"
28,"530330006013",10,"033"
29,"530330006021",11,"033"
30,"530330006022",11,"033"
31,"530330006023",11,"033"
32,"530330007001",12,"033"
33,"530330007002",12,"033"
34,"530330007003",12,"033"
35,"530330007004",12,"033"
36,"530330008001",13,"033"
37,"530330008002",13,"033"
38,"530330009001",14,"033"
39,"530330009002",14,"033"
40,"530330010001",15,"033"
41,"530330010002",15,"033"
42,"530330011001",16,"033"
43,"530330011002",16,"033"
44,"530330012011",17,"033"
45,"530330012012",17,"033"
46,"530330012013",17,"033"
47,"530330012021",18,"033"
48,"530330012022",18,"033"
49,"530330012023",18,"033"
50,"530330013001",19,"033"
51,"530330013002",19,"033"
52,"530330013003",19,"033"
53,"530330014001",20,"033"
54,"530330014002",20,"033"
55,"530330014003",20,"033"
56,"530330014004",20,"033"
57,"530330015001",21,"033"
58,"530330015002",21,"033"
59,"530330016001",22,"033"
60,"530330016002",22,"033"
61,"530330016003",22,"033"
62,"530330017011",23,"033"
63,"530330017012",23,"033"
64,"530330017013",23,"033"
65,"530330017021",24,"033"
66,"530330017022",24,"033"
67,"530330017023",24,"033"
68,"530330017024",24,"033"
69,"530330018001",25,"033"
70,"530330018002",25,"033"
71,"530330018003",25,"033"
72,"530330019001",26,"033"
73,"530330019002",26,"033"
74,"530330019003",26,"033"
75,"530330019004",26,"033"
76,"530330020001",27,"033"
77,"530330020002",27,"033"
78,"530330020003",27,"033"
79,"530330021001",28,"033"
80,"530330021002",28,"033"
81,"530330021003",28,"033"
82,"530330022001",29,"033"
83,"530330022002",29,"033"
84,"530330022003",29,"033"
85,"530330022004",29,"033"
86,"530330024001",30,"033"
87,"530330024002",30,"033"
88,"530330025001",31,"033"
89,"530330025002",31,"033"
90,"530330026001",32,"033"
91,"530330026002",32,"033"
92,"530330026003",32,"033"
93,"530330026004",32,"033"
94,"530330027001",33,"033"
95,"530330027002",33,"033"
96,"530330027003",33,"033"
97,"530330027004",33,"033"
98,"530330028001",34,"033"
99,"530330028002",34,"033"
100,"530330028003",34,"033"
101,"530330028004",34,"033"
102,"530330029001",35,"033"
103,"530330029002",35,"033"
104,"530330029003",35,"033"
105,"530330030001",36,"033"
106,"530330030002",36,"033"
107,"530330030003",36,"033"
108,"530330030004",36,"033"
109,"530330031001",37,"033"
110,"530330031002",37,"033"
111,"530330031003",37,"033"
112,"530330031004",37,"033"
113,"530330031005",37,"033"
114,"530330032011",38,"033"
115,"530330032012",38,"033"
116,"530330032013",38,"033"
117,"530330032021",39,"033"
118,"530330032022",39,"033"
119,"530330032023",39,"033"
120,"530330033011",40,"033"
121,"530330033012",40,"033"
122,"530330033013",40,"033"
123,"530330033021",41,"033"
124,"530330033022",41,"033"
125,"530330033023",41,"033"
126,"530330034001",42,"033"
127,"530330034002",42,"033"
128,"530330034003",42,"033"
129,"530330035001",43,"033"
130,"530330035002",43,"033"
131,"530330035003",43,"033"
132,"530330036011",44,"033"
133,"530330036012",44,"033"
134,"530330036013",44,"033"
135,"530330036021",45,"033"
136,"530330036022",45,"033"
137,"530330036023",45,"033"
138,"530330038001",46,"033"
139,"530330038002",46,"033"
140,"530330039001",47,"033"
141,"530330039002",47,"033"
142,"530330040001",48,"033"
143,"530330040002",48,"033"
144,"530330041011",49,"033"
145,"530330041012",49,"033"
146,"530330041013",49,"033"
147,"530330041021",50,"033"
148,"530330041022",50,"033"
149,"530330041023",50,"033"
150,"530330042011",51,"033"
151,"530330042012",51,"033"
152,"530330042013",51,"033"
153,"530330042021",52,"033"
154,"530330042022",52,"033"
155,"530330042023",52,"033"
156,"530330043011",53,"033"
157,"530330043012",53,"033"
158,"530330043013",53,"033"
159,"530330043021",54,"033"
160,"530330043022",54,"033"
161,"530330043023",54,"033"
162,"530330044011",55,"033"
163,"530330044012",55,"033"
164,"530330044013",55,"033"
165,"530330044021",56,"033"
166,"530330044022",56,"033"
167,"530330044023",56,"033"
168,"530330045001",57,"033"
169,"530330045002",57,"033"
170,"530330046001",58,"033"
171,"530330046002",58,"033"
172,"530330046003",58,"033"
173,"530330047011",59,"033"
174,"530330047012",59,"033"
175,"530330047013",59,"033"
176,"530330047021",60,"033"
177,"530330047022",60,"033"
178,"530330047023",60,"033"
179,"530330047031",61,"033"
180,"530330047032",61,"033"
181,"530330047033",61,"033"
182,"530330048001",62,"033"
183,"530330048002",62,"033"
184,"530330048003",62,"033"
185,"530330048004",62,"033"
186,"530330049011",63,"033"
187,"530330049012",63,"033"
188,"530330049013",63,"033"
189,"530330049021",64,"033"
190,"530330049022",64,"033"
191,"530330050001",65,"033"
192,"530330050002",65,"033"
193,"530330050003",65,"033"
194,"530330051001",66,"033"
195,"530330051002",66,"033"
196,"530330051003",66,"033"
197,"530330052011",67,"033"
198,"530330052012",67,"033"
199,"530330052013",67,"033"
200,"530330052021",68,"033"
201,"530330052022",68,"033"
202,"530330052023",68,"033"
203,"530330053031",69,"033"
204,"530330053032",69,"033"
205,"530330053041",70,"033"
206,"530330053042",70,"033"
207,"530330053051",71,"033"
208,"530330053052",71,"033"
209,"530330053061",72,"033"
210,"530330053062",72,"033"
211,"530330053071",73,"033"
212,"530330053072",73,"033"
213,"530330053073",73,"033"
214,"530330054011",74,"033"
215,"530330054012",74,"033"
216,"530330054013",74,"033"
217,"530330054021",75,"033"
218,"530330054022",75,"033"
219,"530330054023",75,"033"
220,"530330056001",76,"033"
221,"530330056002",76,"033"
222,"530330056003",76,"033"
223,"530330056004",76,"033"
224,"530330056005",76,"033"
225,"530330057001",77,"033"
226,"530330057002",77,"033"
227,"530330057003",77,"033"
228,"530330057004",77,"033"
229,"530330057005",77,"033"
230,"530330058011",78,"033"
231,"530330058012",78,"033"
232,"530330058013",78,"033"
233,"530330058014",78,"033"
234,"530330058031",79,"033"
235,"530330058032",79,"033"
236,"530330058041",80,"033"
237,"530330058042",80,"033"
238,"530330059011",81,"033"
239,"530330059012",81,"033"
240,"530330059013",81,"033"
241,"530330059021",82,"033"
242,"530330059022",82,"033"
243,"530330059023",82,"033"
244,"530330060001",83,"033"
245,"530330060002",83,"033"
246,"530330060003",83,"033"
247,"530330060004",83,"033"
248,"530330061001",84,"033"
249,"530330061002",84,"033"
250,"530330061003",84,"033"
251,"530330061004",84,"033"
252,"530330061005",84,"033"
253,"530330062001",85,"033"
254,"530330062002",85,"033"
255,"530330062003",85,"033"
256,"530330063001",86,"033"
257,"530330063002",86,"033"
258,"530330063003",86,"033"
259,"530330063004",86,"033"
260,"530330064001",87,"033"
261,"530330064002",87,"033"
262,"530330064003",87,"033"
263,"530330065001",88,"033"
264,"530330065002",88,"033"
265,"530330065003",88,"033"
266,"530330066001",89,"033"
267,"530330066002",89,"033"
268,"530330066003",89,"033"
269,"530330067011",90,"033"
270,"530330067012",90,"033"
271,"530330067013",90,"033"
272,"530330067021",91,"033"
273,"530330067022",91,"033"
274,"530330067023",91,"033"
275,"530330067031",92,"033"
276,"530330067032",92,"033"
277,"530330067033",92,"033"
278,"530330068001",93,"033"
279,"530330068002",93,"033"
280,"530330068003",93,"033"
281,"530330069001",94,"033"
282,"530330069002",94,"033"
283,"530330069003",94,"033"
284,"530330070011",95,"033"
285,"530330070012",95,"033"
286,"530330070013",95,"033"
287,"530330070021",96,"033"
288,"530330070022",96,"033"
289,"530330070023",96,"033"
290,"530330071011",97,"033"
291,"530330071012",97,"033"
292,"530330071021",98,"033"
293,"530330071022",98,"033"
294,"530330072011",99,"033"
295,"530330072012",99,"033"
296,"530330072013",99,"033"
297,"530330072021",100,"033"
298,"530330072022",100,"033"
299,"530330072023",100,"033"
300,"530330072031",101,"033"
301,"530330072032",101,"033"
302,"530330073011",102,"033"
303,"530330073012",102,"033"
304,"530330073013",102,"033"
305,"530330073021",103,"033"
306,"530330073022",103,"033"
307,"530330073023",103,"033"
308,"530330073031",104,"033"
309,"530330073032",104,"033"
310,"530330073033",104,"033"
311,"530330074031",105,"033"
312,"530330074032",105,"033"
313,"530330074041",106,"033"
314,"530330074042",106,"033"
315,"530330074051",107,"033"
316,"530330074052",107,"033"
317,"530330074061",108,"033"
318,"530330074062",108,"033"
319,"530330075011",109,"033"
320,"530330075012",109,"033"
321,"530330075013",109,"033"
322,"530330075021",110,"033"
323,"530330075022",110,"033"
324,"530330075023",110,"033"
325,"530330075031",111,"033"
326,"530330075032",111,"033"
327,"530330076001",112,"033"
328,"530330076002",112,"033"
329,"530330076003",112,"033"
330,"530330077001",113,"033"
331,"530330077002",113,"033"
332,"530330077003",113,"033"
333,"530330077004",113,"033"
334,"530330078001",114,"033"
335,"530330078002",114,"033"
336,"530330078003",114,"033"
337,"530330078004",114,"033"
338,"530330079011",115,"033"
339,"530330079012",115,"033"
340,"530330079021",116,"033"
341,"530330079022",116,"033"
342,"530330079023",116,"033"
343,"530330080021",117,"033"
344,"530330080022",117,"033"
345,"530330080023",117,"033"
346,"530330080031",118,"033"
347,"530330080032",118,"033"
348,"530330080033",118,"033"
349,"530330080041",119,"033"
350,"530330080042",119,"033"
351,"530330080043",119,"033"
352,"530330081011",120,"033"
353,"530330081012",120,"033"
354,"530330081013",120,"033"
355,"530330081021",121,"033"
356,"530330081022",121,"033"
357,"530330082001",122,"033"
358,"530330082002",122,"033"
359,"530330082003",122,"033"
360,"530330083001",123,"033"
361,"530330083002",123,"033"
362,"530330084011",124,"033"
363,"530330084012",124,"033"
364,"530330084013",124,"033"
365,"530330084021",125,"033"
366,"530330084022",125,"033"
367,"530330084023",125,"033"
368,"530330085001",126,"033"
369,"530330085002",126,"033"
370,"530330085003",126,"033"
371,"530330086001",127,"033"
372,"530330086002",127,"033"
373,"530330086003",127,"033"
374,"530330086004",127,"033"
375,"530330087001",128,"033"
376,"530330087002",128,"033"
377,"530330087003",128,"033"
378,"530330088001",129,"033"
379,"530330088002",129,"033"
380,"530330088003",129,"033"
381,"530330089001",130,"033"
382,"530330089002",130,"033"
383,"530330089003",130,"033"
384,"530330089004",130,"033"
385,"530330090001",131,"033"
386,"530330090002",131,"033"
387,"530330090003",131,"033"
388,"530330091001",132,"033"
389,"530330091002",132,"033"
390,"530330092001",133,"033"
391,"530330092002",133,"033"
392,"530330093001",134,"033"
393,"530330093002",134,"033"
394,"530330093003",134,"033"
395,"530330094001",135,"033"
396,"530330094002",135,"033"
397,"530330094003",135,"033"
398,"530330094004",135,"033"
399,"530330094005",135,"033"
400,"530330095001",136,"033"
401,"530330095002",136,"033"
402,"530330095003",136,"033"
403,"530330095004",136,"033"
404,"530330096001",137,"033"
405,"530330096002",137,"033"
406,"530330096003",137,"033"
407,"530330096004",137,"033"
408,"530330097011",138,"033"
409,"530330097012",138,"033"
410,"530330097013",138,"033"
411,"530330097014",138,"033"
412,"530330097021",139,"033"
413,"530330097022",139,"033"
414,"530330097023",139,"033"
415,"530330097024",139,"033"
416,"530330098011",140,"033"
417,"530330098012",140,"033"
418,"530330098013",140,"033"
419,"530330098021",141,"033"
420,"530330098022",141,"033"
421,"530330098023",141,"033"
422,"530330099001",142,"033"
423,"530330099002",142,"033"
424,"530330099003",142,"033"
425,"530330099004",142,"033"
426,"530330100011",143,"033"
427,"530330100012",143,"033"
428,"530330100013",143,"033"
429,"530330100021",144,"033"
430,"530330100022",144,"033"
431,"530330100023",144,"033"
432,"530330101011",145,"033"
433,"530330101012",145,"033"
434,"530330101013",145,"033"
435,"530330101021",146,"033"
436,"530330101022",146,"033"
437,"530330101023",146,"033"
438,"530330102001",147,"033"
439,"530330102002",147,"033"
440,"530330102003",147,"033"
441,"530330102004",147,"033"
442,"530330103011",148,"033"
443,"530330103012",148,"033"
444,"530330103013",148,"033"
445,"530330103021",149,"033"
446,"530330103022",149,"033"
447,"530330103023",149,"033"
448,"530330104011",150,"033"
449,"530330104012",150,"033"
450,"530330104013",150,"033"
451,"530330104021",151,"033"
452,"530330104022",151,"033"
453,"530330104023",151,"033"
454,"530330104024",151,"033"
455,"530330105011",152,"033"
456,"530330105012",152,"033"
457,"530330105013",152,"033"
458,"530330105021",153,"033"
459,"530330105022",153,"033"
460,"530330105023",153,"033"
461,"530330105024",153,"033"
462,"530330106011",154,"033"
463,"530330106012",154,"033"
464,"530330106013",154,"033"
465,"530330106021",155,"033"
466,"530330106022",155,"033"
467,"530330106023",155,"033"
468,"530330107011",156,"033"
469,"530330107012",156,"033"
470,"530330107013",156,"033"
471,"530330107021",157,"033"
472,"530330107022",157,"033"
473,"530330107023",157,"033"
474,"530330108001",158,"033"
475,"530330108002",158,"033"
476,"530330108003",158,"033"
477,"530330109001",159,"033"
478,"530330109002",159,"033"
479,"530330110011",160,"033"
480,"530330110012",160,"033"
481,"530330110013",160,"033"
482,"530330110021",161,"033"
483,"530330110022",161,"033"
484,"530330110023",161,"033"
485,"530330111011",162,"033"
486,"530330111012",162,"033"
487,"530330111013",162,"033"
488,"530330111014",162,"033"
489,"530330111021",163,"033"
490,"530330111022",163,"033"
491,"530330111023",163,"033"
492,"530330111024",163,"033"
493,"530330112001",164,"033"
494,"530330112002",164,"033"
495,"530330112003",164,"033"
496,"530330113001",165,"033"
497,"530330113002",165,"033"
498,"530330113003",165,"033"
499,"530330113004",165,"033"
500,"530330113005",165,"033"
501,"530330114011",166,"033"
502,"530330114012",166,"033"
503,"530330114013",166,"033"
504,"530330114021",167,"033"
505,"530330114022",167,"033"
506,"530330114023",167,"033"
507,"530330115001",168,"033"
508,"530330115002",168,"033"
509,"530330115003",168,"033"
510,"530330116011",169,"033"
511,"530330116012",169,"033"
512,"530330116021",170,"033"
513,"530330116022",170,"033"
514,"530330116023",170,"033"
515,"530330117001",171,"033"
516,"530330117002",171,"033"
517,"530330117003",171,"033"
518,"530330117004",171,"033"
519,"530330118011",172,"033"
520,"530330118012",172,"033"
521,"530330118013",172,"033"
522,"530330118021",173,"033"
523,"530330118022",173,"033"
524,"530330118023",173,"033"
525,"530330119011",174,"033"
526,"530330119012",174,"033"
527,"530330119013",174,"033"
528,"530330119021",175,"033"
529,"530330119022",175,"033"
530,"530330119023",175,"033"
531,"530330120001",176,"033"
532,"530330120002",176,"033"
533,"530330120003",176,"033"
534,"530330121001",177,"033"
535,"530330121002",177,"033"
536,"530330201001",178,"033"
537,"530330201002",178,"033"
538,"530330201003",178,"033"
539,"530330202001",179,"033"
540,"530330202002",179,"033"
541,"530330202003",179,"033"
542,"530330202004",179,"033"
543,"530330203011",180,"033"
544,"530330203012",180,"033"
545,"530330203021",181,"033"
546,"530330203022",181,"033"
547,"530330203023",181,"033"
548,"530330204011",182,"033"
549,"530330204012",182,"033"
550,"530330204013",182,"033"
551,"530330204021",183,"033"
552,"530330204022",183,"033"
553,"530330204023",183,"033"
554,"530330204024",183,"033"
555,"530330205001",184,"033"
556,"530330205002",184,"033"
557,"530330205003",184,"033"
558,"530330205004",184,"033"
559,"530330205005",184,"033"
560,"530330206001",185,"033"
561,"530330206002",185,"033"
562,"530330206003",185,"033"
563,"530330206004",185,"033"
564,"530330207001",186,"033"
565,"530330207002",186,"033"
566,"530330207003",186,"033"
567,"530330208001",187,"033"
568,"530330208002",187,"033"
569,"530330208003",187,"033"
570,"530330209001",188,"033"
571,"530330209002",188,"033"
572,"530330209003",188,"033"
573,"530330210001",189,"033"
574,"530330210002",189,"033"
575,"530330210003",189,"033"
576,"530330210004",189,"033"
577,"530330210005",189,"033"
578,"530330211001",190,"033"
579,"530330211002",190,"033"
580,"530330211003",190,"033"
581,"530330213001",191,"033"
582,"530330213002",191,"033"
583,"530330213003",191,"033"
584,"530330214001",192,"033"
585,"530330214002",192,"033"
586,"530330214003",192,"033"
587,"530330215001",193,"033"
588,"530330215002",193,"033"
589,"530330215003",193,"033"
590,"530330215004",193,"033"
591,"530330216001",194,"033"
592,"530330216002",194,"033"
593,"530330216003",194,"033"
594,"530330216004",194,"033"
595,"530330217011",195,"033"
596,"530330217012",195,"033"
597,"530330217013",195,"033"
598,"530330217021",196,"033"
599,"530330217022",196,"033"
600,"530330217023",196,"033"
601,"530330218021",197,"033"
602,"530330218022",197,"033"
603,"530330218023",197,"033"
604,"530330218024",197,"033"
605,"530330218031",198,"033"
606,"530330218032",198,"033"
607,"530330218033",198,"033"
608,"530330218034",198,"033"
609,"530330218041",199,"033"
610,"530330218042",199,"033"
611,"530330218043",199,"033"
612,"530330218044",199,"033"
613,"530330219031",200,"033"
614,"530330219032",200,"033"
615,"530330219033",200,"033"
616,"530330219034",200,"033"
617,"530330219041",201,"033"
618,"530330219042",201,"033"
619,"530330219043",201,"033"
620,"530330219044",201,"033"
621,"530330219051",202,"033"
622,"530330219052",202,"033"
623,"530330219053",202,"033"
624,"530330219054",202,"033"
625,"530330219061",203,"033"
626,"530330219062",203,"033"
627,"530330219063",203,"033"
628,"530330220011",204,"033"
629,"530330220012",204,"033"
630,"530330220013",204,"033"
631,"530330220031",205,"033"
632,"530330220032",205,"033"
633,"530330220033",205,"033"
634,"530330220034",205,"033"
635,"530330220051",206,"033"
636,"530330220052",206,"033"
637,"530330220053",206,"033"
638,"530330220054",206,"033"
639,"530330220061",207,"033"
640,"530330220062",207,"033"
641,"530330220063",207,"033"
642,"530330221011",208,"033"
643,"530330221012",208,"033"
644,"530330221013",208,"033"
645,"530330221014",208,"033"
646,"530330221021",209,"033"
647,"530330221022",209,"033"
648,"530330221023",209,"033"
649,"530330221024",209,"033"
650,"530330222011",210,"033"
651,"530330222012",210,"033"
652,"530330222013",210,"033"
653,"530330222031",211,"033"
654,"530330222032",211,"033"
655,"530330222033",211,"033"
656,"530330222034",211,"033"
657,"530330222041",212,"033"
658,"530330222042",212,"033"
659,"530330222043",212,"033"
660,"530330222051",213,"033"
661,"530330222052",213,"033"
662,"530330222053",213,"033"
663,"530330223001",214,"033"
664,"530330223002",214,"033"
665,"530330224011",215,"033"
666,"530330224012",215,"033"
667,"530330224013",215,"033"
668,"530330224021",216,"033"
669,"530330224022",216,"033"
670,"530330224023",216,"033"
671,"530330225011",217,"033"
672,"530330225012",217,"033"
673,"530330225013",217,"033"
674,"530330225021",218,"033"
675,"530330225022",218,"033"
676,"530330225023",218,"033"
677,"530330226031",219,"033"
678,"530330226032",219,"033"
679,"530330226033",219,"033"
680,"530330226034",219,"033"
681,"530330226041",220,"033"
682,"530330226042",220,"033"
683,"530330226043",220,"033"
684,"530330226051",221,"033"
685,"530330226052",221,"033"
686,"530330226053",221,"033"
687,"530330226061",222,"033"
688,"530330226062",222,"033"
689,"530330226063",222,"033"
690,"530330226064",222,"033"
691,"530330227011",223,"033"
692,"530330227012",223,"033"
693,"530330227021",224,"033"
694,"530330227022",224,"033"
695,"530330227023",224,"033"
696,"530330227031",225,"033"
697,"530330227032",225,"033"
698,"530330228021",226,"033"
699,"530330228022",226,"033"
700,"530330228023",226,"033"
701,"530330228024",226,"033"
702,"530330228031",227,"033"
703,"530330228032",227,"033"
704,"530330228033",227,"033"
705,"530330228034",227,"033"
706,"530330228041",228,"033"
707,"530330228042",228,"033"
708,"530330228043",228,"033"
709,"530330228051",229,"033"
710,"530330228052",229,"033"
711,"530330228053",229,"033"
712,"530330229011",230,"033"
713,"530330229012",230,"033"
714,"530330229021",231,"033"
715,"530330229022",231,"033"
716,"530330229023",231,"033"
717,"530330229024",231,"033"
718,"530330230001",232,"033"
719,"530330230002",232,"033"
720,"530330230003",232,"033"
721,"530330230004",232,"033"
722,"530330231001",233,"033"
723,"530330231002",233,"033"
724,"530330231003",233,"033"
725,"530330232011",234,"033"
726,"530330232012",234,"033"
727,"530330232013",234,"033"
728,"530330232014",234,"033"
729,"530330232021",235,"033"
730,"530330232022",235,"033"
731,"530330232023",235,"033"
732,"530330233001",236,"033"
733,"530330233002",236,"033"
734,"530330233003",236,"033"
735,"530330233004",236,"033"
736,"530330234011",237,"033"
737,"530330234012",237,"033"
738,"530330234013",237,"033"
739,"530330234031",238,"033"
740,"530330234032",238,"033"
741,"530330234033",238,"033"
742,"530330234041",239,"033"
743,"530330234042",239,"033"
744,"530330235001",240,"033"
745,"530330235002",240,"033"
746,"530330235003",240,"033"
747,"530330236011",241,"033"
748,"530330236012",241,"033"
749,"530330236013",241,"033"
750,"530330236031",242,"033"
751,"530330236032",242,"033"
752,"530330236033",242,"033"
753,"530330236034",242,"033"
754,"530330236035",242,"033"
755,"530330236041",243,"033"
756,"530330236042",243,"033"
757,"530330236043",243,"033"
